Team,Player Name,Age,Player Role,Batting Style,Bowling Style
Afghanistan,Mohammad Nabi(c),37,Allrounder,Right hand Bat,Right arm Offbreak
Afghanistan,Azmatullah Omarzai,22,Allrounder,Right hand Bat,Right arm Medium fast
Afghanistan,Darwish Rasooli,22,Top order Batter,Right hand Bat,Right arm Offbreak
Afghanistan,Fareed Ahmad,28,Bowler,Left hand Bat,Left arm Fast medium
Afghanistan,Fazalhaq Farooqi,21,Bowler,Right hand Bat,Left arm Fast medium
Afghanistan,Gulbadin Naib,31,Batting Allrounder,Right hand Bat,Right arm Medium fast
Afghanistan,Ibrahim Zadran,20,Opening Batter,Right hand Bat,Right arm Medium fast
Afghanistan,Mohammad Saleem,20,Bowler,Right hand Bat,Right arm Fast
Afghanistan,Mujeeb Ur Rahman,21,Bowler,Right hand Bat,Right arm Offbreak
Afghanistan,Najibullah Zadran,29,Middle order Batter,Left hand Bat,Right arm Offbreak
Afghanistan,Naveen-ul-Haq,22,Bowler,Right hand Bat,Right arm Medium fast
Afghanistan,Qais Ahmad,22,Bowler,Right hand Bat,Legbreak
Afghanistan,Rahmanullah Gurbaz†,20,Wicketkeeper Batter,,
Afghanistan,Rashid Khan,23,Bowling Allrounder,Right hand Bat,Legbreak Googly
Afghanistan,Usman Ghani,25,Opening Batter,,
Afghanistan,Hazratullah ZazaiWithdrawn player,24,Opening Batter,Left hand Bat,Slow Left arm Orthodox
Australia,Aaron Finch(c),35,Top order Batter,Right hand Bat,Slow Left arm Orthodox
Australia,Pat Cummins(vc),29,Bowler,Right hand Bat,Right arm Fast
Australia,Ashton Agar,28,Bowler,Left hand Bat,Slow Left arm Orthodox
Australia,Tim David,26,Middle order Batter,Right hand Bat,Right arm Offbreak
Australia,Cameron Green,23,Batting Allrounder,Right hand Bat,Right arm Fast medium
Australia,Josh Hazlewood,31,Bowler,Left hand Bat,Right arm Fast medium
Australia,Mitchell Marsh,30,Allrounder,Right hand Bat,Right arm Medium
Australia,Glenn Maxwell,33,Batting Allrounder,Right hand Bat,Right arm Offbreak
Australia,Kane Richardson,31,Bowler,Right hand Bat,Right arm Fast medium
Australia,Steven Smith,33,Middle order Batter,Right hand Bat,Legbreak Googly
Australia,Mitchell Starc,32,Bowler,Left hand Bat,Left arm Fast
Australia,Marcus Stoinis,33,Batting Allrounder,Right hand Bat,Right arm Medium
Australia,Matthew Wade†,34,Wicketkeeper Batter,Left hand Bat,Right arm Medium
Australia,David Warner,35,Opening Batter,Left hand Bat,Legbreak
Australia,Adam Zampa,30,Bowler,Right hand Bat,Legbreak Googly
Australia,Josh Inglis†Withdrawn player,27,Wicketkeeper Batter,,
Bangladesh,Shakib Al Hasan(c),35,Allrounder,Left hand Bat,Slow Left arm Orthodox
Bangladesh,Afif Hossain,22,Allrounder,Left hand Bat,Right arm Offbreak
Bangladesh,Ebadot Hossain,28,Bowler,Right hand Bat,Right arm Fast medium
Bangladesh,Hasan Mahmud,22,Bowler,Right hand Bat,Right arm Medium
Bangladesh,Litton Das†,27,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak
Bangladesh,Mehidy Hasan Miraz,24,Allrounder,Right hand Bat,Right arm Offbreak
Bangladesh,Mosaddek Hossain,26,Middle order Batter,Right hand Bat,Right arm Offbreak
Bangladesh,Mustafizur Rahman,27,Bowler,Left hand Bat,Left arm Fast medium
Bangladesh,Najmul Hossain Shanto,24,Top order Batter,Left hand Bat,Right arm Offbreak
Bangladesh,Nasum Ahmed,27,Bowler,Left hand Bat,Slow Left arm Orthodox
Bangladesh,Nurul Hasan†,28,Wicketkeeper Batter,,
Bangladesh,Shoriful Islam,21,Bowler,Left hand Bat,Left arm Medium fast
Bangladesh,Soumya Sarkar,29,Middle order Batter,Left hand Bat,Right arm Medium fast
Bangladesh,Taskin Ahmed,27,Bowler,Left hand Bat,Right arm Fast
Bangladesh,Yasir Ali,26,Middle order Batter,Right hand Bat,Right arm Offbreak
England,Jos Buttler(c),31,Wicketkeeper Batter,,
England,Moeen Ali,35,Batting Allrounder,Left hand Bat,Right arm Offbreak
England,Harry Brook,23,Batter,Right hand Bat,Right arm Medium
England,Sam Curran,24,Allrounder,Left hand Bat,Left arm Medium fast
England,Alex Hales,33,Opening Batter,Right hand Bat,Right arm Medium
England,Chris Jordan,33,Bowler,Right hand Bat,Right arm Fast medium
England,Liam Livingstone,29,Batting Allrounder,Right hand Bat,Legbreak
England,Dawid Malan,34,Top order Batter,Left hand Bat,Legbreak
England,Tymal Mills,30,Bowler,Right hand Bat,Left arm Fast
England,Adil Rashid,34,Bowler,Right hand Bat,Legbreak
England,Phil Salt†,26,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak
England,Ben Stokes,31,Allrounder,Left hand Bat,Right arm Fast medium
England,David Willey,32,Bowling Allrounder,Left hand Bat,Left arm Fast medium
England,Chris Woakes,33,Allrounder,Right hand Bat,Right arm Fast medium
England,Mark Wood,32,Bowler,Right hand Bat,Right arm Fast
England,Jonny Bairstow†Withdrawn player,32,Wicketkeeper Batter,Right hand Bat,Right arm Medium
England,Reece TopleyWithdrawn player,28,Bowler,Right hand Bat,Left arm Fast medium
India,Rohit Sharma(c),35,Top order Batter,Right hand Bat,Right arm Offbreak
India,KL Rahul(vc),30,Opening Batter,,
India,Arshdeep Singh,23,Bowler,Left hand Bat,Left arm Medium fast
India,Ravichandran Ashwin,35,Bowling Allrounder,Right hand Bat,Right arm Offbreak
India,Yuzvendra Chahal,32,Bowler,Right hand Bat,Legbreak Googly
India,Deepak Hooda,27,Allrounder,Right hand Bat,Right arm Offbreak
India,Dinesh Karthik†,37,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak
India,Virat Kohli,33,Top order Batter,Right hand Bat,Right arm Medium
India,Bhuvneshwar Kumar,32,Bowler,Right hand Bat,Right arm Medium
India,Mohammed Shami,32,Bowler,Right hand Bat,Right arm Fast
India,Hardik Pandya,28,Allrounder,Right hand Bat,Right arm Medium fast
India,Rishabh Pant†,24,Wicketkeeper Batter,,
India,Axar Patel,28,Bowling Allrounder,Left hand Bat,Slow Left arm Orthodox
India,Harshal Patel,31,Bowler,Right hand Bat,Right arm Medium
India,Suryakumar Yadav,31,Batter,Right hand Bat,Right arm Medium
India,Jasprit BumrahWithdrawn player,28,Bowler,Right hand Bat,Right arm Fast
Ireland,Andy Balbirnie(c),31,Batter,Right hand Bat,Right arm Offbreak
Ireland,Paul Stirling(vc),32,Batting Allrounder,Right hand Bat,Right arm Offbreak
Ireland,Mark Adair,26,Bowling Allrounder,Right hand Bat,Right arm Fast medium
Ireland,Curtis Campher,23,Allrounder,Right hand Bat,Right arm Medium fast
Ireland,Gareth Delany,25,Batting Allrounder,Right hand Bat,Legbreak Googly
Ireland,George Dockrell,30,Allrounder,Right hand Bat,Slow Left arm Orthodox
Ireland,Stephen Doheny,24,Opening Batter,,
Ireland,Fionn Hand,24,Bowling Allrounder,Right hand Bat,Right arm Medium
Ireland,Graham Hume,31,Bowler,Left hand Bat,Right arm Fast medium
Ireland,Josh Little,22,Bowler,Right hand Bat,Left arm Fast medium
Ireland,Barry McCarthy,30,Bowler,Right hand Bat,Right arm Fast medium
Ireland,Conor Olphert,26,Bowler,Right hand Bat,Right arm Medium
Ireland,Simi Singh,35,Bowling Allrounder,Right hand Bat,Right arm Offbreak
Ireland,Harry Tector,22,Middle order Batter,Right hand Bat,Right arm Offbreak
Ireland,Lorcan Tucker†,26,Wicketkeeper Batter,,
Ireland,Craig YoungWithdrawn player,32,Bowler,Right hand Bat,Right arm Fast medium
Namibia,Gerhard Erasmus(c),27,Allrounder,Right hand Bat,Right arm Offbreak
Namibia,Stephan Baard,30,Batter,Right hand Bat,Right arm Medium fast
Namibia,Karl Birkenstock,26,Middle order Batter,Left hand Bat,Right arm Fast medium
Namibia,Jan Frylinck,28,Allrounder,Left hand Bat,Left arm Fast medium
Namibia,Zane Green†,25,Wicketkeeper Batter,,
Namibia,Divan la Cock,19,Opening Batter,Right hand Bat,Legbreak
Namibia,Jan Nicol Loftie-Eaton,21,Batter,Left hand Bat,Right arm Medium
Namibia,Lo-handre Louwrens†,23,Wicketkeeper Batter,,
Namibia,Tangeni Lungameni,30,Bowler,Left hand Bat,Left arm Medium
Namibia,Bernard Scholtz,31,Bowler,Right hand Bat,Slow Left arm Orthodox
Namibia,Ben Shikongo,22,Bowler,Right hand Bat,Right arm Medium fast
Namibia,JJ Smit,26,Bowling Allrounder,Right hand Bat,Left arm Medium fast
Namibia,Ruben Trumpelmann,24,Bowler,Right hand Bat,Left arm Fast
Namibia,Michael van Lingen,24,Bowling Allrounder,Left hand Bat,Left arm Medium
Namibia,David Wiese,37,Allrounder,Right hand Bat,Right arm Medium fast
Namibia,Pikky Ya France,32,Middle order Batter,Right hand Bat,Right arm Offbreak
Netherlands,Scott Edwards† (c),26,Wicketkeeper Batter,,
Netherlands,Colin Ackermann,31,Batting Allrounder,Right hand Bat,Right arm Offbreak
Netherlands,Tom Cooper,35,Middle order Batter,Right hand Bat,Right arm Offbreak
Netherlands,Bas de Leede,22,Batting Allrounder,Right hand Bat,Right arm Fast medium
Netherlands,Brandon Glover,25,Bowler,Right hand Bat,Right arm Fast
Netherlands,Fred Klaassen,29,Bowler,Right hand Bat,Left arm Fast medium
Netherlands,Stephan Myburgh,38,Opening Batter,Left hand Bat,Right arm Offbreak
Netherlands,Teja Nidamanuru,28,Allrounder,Right hand Bat,Right arm Offbreak
Netherlands,Max O'Dowd,28,Opening Batter,Right hand Bat,Right arm Offbreak
Netherlands,Tim Pringle,20,Allrounder,Right hand Bat,Slow Left arm Orthodox
Netherlands,Shariz Ahmad,19,Bowler,Left hand Bat,Legbreak Googly
Netherlands,Logan van Beek,31,Bowler,Right hand Bat,Right arm Medium fast
Netherlands,Timm van der Gugten,31,Bowler,Right hand Bat,Right arm Fast medium
Netherlands,Roelof van der Merwe,37,Allrounder,Right hand Bat,Slow Left arm Orthodox
Netherlands,Paul van Meekeren,29,Bowler,Right hand Bat,Right arm Fast medium
Netherlands,Vikramjit Singh,19,Opening Batter,Left hand Bat,Right arm Medium fast
New Zealand,Kane Williamson(c),32,Top order Batter,Right hand Bat,Right arm Offbreak
New Zealand,Finn Allen,23,Top order Batter,,
New Zealand,Trent Boult,33,Bowler,Right hand Bat,Left arm Fast medium
New Zealand,Michael Bracewell,31,Batting Allrounder,Left hand Bat,Right arm Offbreak
New Zealand,Mark Chapman,28,Allrounder,Left hand Bat,Slow Left arm Orthodox
New Zealand,Devon Conway†,31,Wicketkeeper Batter,Left hand Bat,Right arm Medium
New Zealand,Lockie Ferguson,31,Bowler,Right hand Bat,Right arm Fast
New Zealand,Martin Guptill,35,Opening Batter,Right hand Bat,Right arm Offbreak
New Zealand,Adam Milne,30,Bowler,Right hand Bat,Right arm Fast
New Zealand,Daryl Mitchell,31,Allrounder,Right hand Bat,Right arm Medium
New Zealand,James Neesham,32,Batting Allrounder,Left hand Bat,Right arm Medium fast
New Zealand,Glenn Phillips†,25,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak
New Zealand,Mitchell Santner,30,Bowling Allrounder,Left hand Bat,Slow Left arm Orthodox
New Zealand,Ish Sodhi,29,Bowler,Right hand Bat,Legbreak
New Zealand,Tim Southee,33,Bowler,Right hand Bat,Right arm Medium fast
Pakistan,Babar Azam(c),27,Batter,Right hand Bat,Right arm Offbreak
Pakistan,Asif Ali,30,Middle order Batter,Right hand Bat,Right arm Offbreak
Pakistan,Haider Ali,21,Middle order Batter,,
Pakistan,Haris Rauf,28,Bowler,Right hand Bat,Right arm Fast
Pakistan,Iftikhar Ahmed,32,Middle order Batter,Right hand Bat,Right arm Offbreak
Pakistan,Khushdil Shah,27,Middle order Batter,Left hand Bat,Slow Left arm Orthodox
Pakistan,Mohammad Haris,21,Middle order Batter,Right hand Bat,Right arm Offbreak
Pakistan,Mohammad Hasnain,22,Bowler,Right hand Bat,Right arm Fast
Pakistan,Mohammad Nawaz,28,Allrounder,Left hand Bat,Slow Left arm Orthodox
Pakistan,Mohammad Rizwan†,30,Wicketkeeper Batter,,
Pakistan,Mohammad Wasim,21,Allrounder,Right hand Bat,Right arm Fast medium
Pakistan,Naseem Shah,19,Bowler,Right hand Bat,Right arm Fast
Pakistan,Shadab Khan,23,Allrounder,Right hand Bat,Legbreak
Pakistan,Shaheen Shah Afridi,22,Bowler,Left hand Bat,Left arm Fast
Pakistan,Shan Masood,32,Opening Batter,Left hand Bat,Right arm Medium fast
Pakistan,Fakhar ZamanWithdrawn player,32,Opening Batter,Left hand Bat,Slow Left arm Orthodox
Scotland,Richie Berrington(c),35,Top order Batter,Right hand Bat,Right arm Medium fast
Scotland,Matthew Cross(vc),29,Wicketkeeper Batter,,
Scotland,Josh Davey,32,Bowler,Right hand Bat,Right arm Medium fast
Scotland,Chris Greaves,31,Bowler,Right hand Bat,Legbreak
Scotland,Hamza Tahir,26,Bowler,Right hand Bat,Slow Left arm Orthodox
Scotland,Michael Jones,24,Top order Batter,Right hand Bat,Right arm Offbreak
Scotland,Michael Leask,31,Allrounder,Right hand Bat,Right arm Offbreak
Scotland,Calum MacLeod,33,Top order Batter,Right hand Bat,Right arm Medium fast
Scotland,Brandon McMullen,22,Batting Allrounder,Right hand Bat,Right arm Medium
Scotland,George Munsey,29,Opening Batter,Left hand Bat,Right arm Medium fast
Scotland,Safyaan Sharif,31,Bowler,Right hand Bat,Right arm Medium fast
Scotland,Chris Sole,28,Bowler,Right hand Bat,Right arm Medium
Scotland,Craig Wallace†,32,Wicketkeeper Batter,,
Scotland,Mark Watt,26,Bowler,Left hand Bat,Slow Left arm Orthodox
Scotland,Brad Wheal,26,Bowler,Right hand Bat,Right arm Fast medium
South Africa,Temba Bavuma(c),32,Middle order Batter,Right hand Bat,Right arm Medium
South Africa,Quinton de Kock†,29,Wicketkeeper Batter,,
South Africa,Reeza Hendricks,33,Opening Batter,Right hand Bat,Right arm Offbreak
South Africa,Heinrich Klaasen†,31,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak
South Africa,Keshav Maharaj,32,Bowler,Right hand Bat,Slow Left arm Orthodox
South Africa,Aiden Markram,27,Opening Batter,Right hand Bat,Right arm Offbreak
South Africa,David Miller,33,Middle order Batter,Left hand Bat,Right arm Offbreak
South Africa,Lungi Ngidi,26,Bowler,Right hand Bat,Right arm Fast medium
South Africa,Anrich Nortje,28,Bowler,Right hand Bat,Right arm Fast
South Africa,Wayne Parnell,33,Bowler,Left hand Bat,Left arm Medium fast
South Africa,Kagiso Rabada,27,Bowler,Left hand Bat,Right arm Fast
South Africa,Rilee Rossouw,32,Top order Batter,Left hand Bat,Right arm Offbreak
South Africa,Tabraiz Shamsi,32,Bowler,Right hand Bat,Left arm Wrist spin
South Africa,Tristan Stubbs†,22,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak
South Africa,Dwaine PretoriusWithdrawn player,33,Bowling Allrounder,Right hand Bat,Right arm Medium fast
Sri Lanka,Dasun Shanaka(c),31,Allrounder,Right hand Bat,Right arm Medium
Sri Lanka,Charith Asalanka,25,Batting Allrounder,Left hand Bat,Right arm Offbreak
Sri Lanka,Ashen Bandara,23,Middle order Batter,Right hand Bat,Legbreak
Sri Lanka,Wanindu Hasaranga de Silva,25,Allrounder,Right hand Bat,Legbreak
Sri Lanka,Dhananjaya de Silva,31,Allrounder,Right hand Bat,Right arm Offbreak
Sri Lanka,Asitha Fernando,25,Bowler,Right hand Bat,Right arm Medium fast
Sri Lanka,Chamika Karunaratne,26,Bowling Allrounder,Right hand Bat,Right arm Medium fast
Sri Lanka,Lahiru Kumara,25,Bowler,Left hand Bat,Right arm Fast
Sri Lanka,Kusal Mendis†,27,Wicketkeeper Batter,Right hand Bat,Legbreak
Sri Lanka,Pathum Nissanka,24,Top order Batter,,
Sri Lanka,Bhanuka Rajapaksa,30,Top order Batter,Left hand Bat,Right arm Medium
Sri Lanka,Kasun Rajitha,29,Bowler,Right hand Bat,Right arm Medium fast
Sri Lanka,Maheesh Theekshana,22,Bowler,Right hand Bat,Right arm Offbreak
Sri Lanka,Jeffrey Vandersay,32,Bowler,Right hand Bat,Legbreak
Sri Lanka,Dushmantha ChameeraWithdrawn player,30,Bowler,Right hand Bat,Right arm Fast
Sri Lanka,Binura FernandoWithdrawn player,27,Bowler,Right hand Bat,Left arm Medium fast
Sri Lanka,Danushka GunathilakaWithdrawn player,31,Allrounder,Left hand Bat,Right arm Offbreak
Sri Lanka,Dilshan MadushankaWithdrawn player,21,Bowler,Right hand Bat,Left arm Medium fast
United Arab Emirates,Chundangapoyil Rizwan(c),34,Middle order Batter,Right hand Bat,Legbreak Googly
United Arab Emirates,Vriitya Aravind(vc),20,Wicketkeeper,,
United Arab Emirates,Aayan Afzal Khan,16,Bowling Allrounder,Right hand Bat,Slow Left arm Orthodox
United Arab Emirates,Ahmed Raza,33,Bowler,Right hand Bat,Slow Left arm Orthodox
United Arab Emirates,Aryan Lakra,20,Bowler,Left hand Bat,Slow Left arm Orthodox
United Arab Emirates,Basil Hameed,30,Middle order Batter,Right hand Bat,Right arm Offbreak
United Arab Emirates,Chirag Suri,27,Opening Batter,Right hand Bat,Right arm Offbreak
United Arab Emirates,Fahad Nawaz,22,Allrounder,Right hand Bat,Slow Left arm Orthodox
United Arab Emirates,Junaid Siddique,29,Bowler,Right hand Bat,Right arm Medium fast
United Arab Emirates,Kashif Daud,36,Bowling Allrounder,Right hand Bat,Right arm Medium fast
United Arab Emirates,Karthik Meiyappan,21,Bowler,Right hand Bat,Legbreak
United Arab Emirates,Muhammad Waseem,28,Opening Batter,Right hand Bat,Right arm Medium
United Arab Emirates,Sabir Ali,31,Bowler,Right hand Bat,Left arm Fast medium
United Arab Emirates,Alishan Sharafu,19,Opening Batter,Right hand Bat,Right arm Medium
United Arab Emirates,Zahoor Khan,33,Bowler,Right hand Bat,Right arm Medium fast
United Arab Emirates,Zawar FaridWithdrawn player,30,Bowler,Right hand Bat,Right arm Medium
West Indies,Nicholas Pooran† (c),26,Wicketkeeper Batter,Left hand Bat,Right arm Offbreak
West Indies,Rovman Powell(vc),29,Middle order Batter,Right hand Bat,Right arm Medium fast
West Indies,Shamarh Brooks,33,Top order Batter,Right hand Bat,Legbreak
West Indies,Yannic Cariah,30,Bowler,Left hand Bat,Legbreak
West Indies,Johnson Charles†,33,Wicketkeeper Batter,,
West Indies,Sheldon Cottrell,33,Bowler,Right hand Bat,Left arm Fast medium
West Indies,Jason Holder,30,Bowling Allrounder,Right hand Bat,Right arm Medium fast
West Indies,Akeal Hosein,29,Bowler,Left hand Bat,Slow Left arm Orthodox
West Indies,Alzarri Joseph,25,Bowler,Right hand Bat,Right arm Fast
West Indies,Brandon King,27,Top order Batter,,
West Indies,Evin Lewis,30,Opening Batter,,
West Indies,Kyle Mayers,30,Batting Allrounder,Left hand Bat,Right arm Medium
West Indies,Obed McCoy,25,Bowler,Left hand Bat,Left arm Fast medium
West Indies,Raymon Reifer,31,Allrounder,Left hand Bat,Left arm Medium fast
West Indies,Odean Smith,25,Bowling Allrounder,Right hand Bat,Right arm Fast medium
West Indies,Shimron HetmyerWithdrawn player,25,Top order Batter,,
Zimbabwe,Craig Ervine(c),37,Middle order Batter,Left hand Bat,Right arm Offbreak
Zimbabwe,Ryan Burl,28,Middle order Batter,Left hand Bat,Legbreak
Zimbabwe,Regis Chakabva†,34,Wicketkeeper Batter,Right hand Bat,Right arm Offbreak
Zimbabwe,Tendai Chatara,31,Bowler,Right hand Bat,Right arm Fast medium
Zimbabwe,Brad Evans,25,Allrounder,Right hand Bat,Right arm Fast
Zimbabwe,Luke Jongwe,27,Bowler,Right hand Bat,Right arm Fast medium
Zimbabwe,Clive Madande†,22,Wicketkeeper Batter,,
Zimbabwe,Wessly Madhevere,22,Allrounder,Right hand Bat,Right arm Offbreak
Zimbabwe,Wellington Masakadza,28,Bowler,Left hand Bat,Slow Left arm Orthodox
Zimbabwe,Tony Munyonga,23,Allrounder,Right hand Bat,Right arm Offbreak
Zimbabwe,Blessing Muzarabani,25,Bowler,Right hand Bat,Right arm Fast medium
Zimbabwe,Richard Ngarava,24,Bowler,Left hand Bat,Left arm Fast medium
Zimbabwe,Milton Shumba,21,Top order Batter,Left hand Bat,Slow Left arm Orthodox
Zimbabwe,Sikandar Raza,36,Batting Allrounder,Right hand Bat,Right arm Offbreak
Zimbabwe,Sean Williams,35,Middle order Batter,Left hand Bat,Slow Left arm Orthodox
